# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
229888 168.375 2.21424876098338e-07 2.20800743779904e-07 2.21979962123618e-07
230400 168.75 2.1965384509079e-07 2.18996987656283e-07 2.20230947173817e-07
230912 169.125 2.17597741268291e-07 2.17050587146195e-07 2.1828597229386e-07
231424 169.5 2.18222772790088e-07 2.17733047867703e-07 2.18932913152686e-07
231936 169.875 2.17787504562482e-07 2.17197791434271e-07 2.18465955276713e-07
232448 170.25 2.19268074095171e-07 2.18635616064762e-07 2.19943571928709e-07
232960 170.625 2.14716218551217e-07 2.14118943976377e-07 2.15430225914316e-07
233472 171 2.14900007918436e-07 2.14347300548673e-07 2.15614758965557e-07
233984 171.375 2.14694819404761e-07 2.140833768338e-07 2.15445496067942e-07
234496 171.75 2.16493450988574e-07 2.15846493888364e-07 2.1725740754657e-07
235008 172.125 2.15532779643228e-07 2.14934120274412e-07 2.16242302780076e-07
235520 172.5 2.1237163052747e-07 2.11805185449194e-07 2.13046555523018e-07
236032 172.875 2.13496747368907e-07 2.12904859558465e-07 2.1419651897803e-07
236544 173.25 2.11760377369249e-07 2.1115277038261e-07 2.12474559166074e-07
237056 173.625 2.12967082922148e-07 2.12389899225768e-07 2.1366232562196e-07
237568 174 2.10736825835596e-07 2.10085246410057e-07 2.11373519341852e-07
238080 174.375 2.10899840668523e-07 2.10249521417298e-07 2.11534794324879e-07
238592 174.75 2.11958709255633e-07 2.11339174654849e-07 2.12626766007728e-07
239104 175.125 2.11991227029033e-07 2.11407968908708e-07 2.12646800458249e-07
239616 175.5 2.08503756481138e-07 2.07895567296543e-07 2.09138204779456e-07
240128 175.875 2.09034838665756e-07 2.08410408873865e-07 2.09642285798751e-07
240640 176.25 2.08585989429831e-07 2.07898784348099e-07 2.09160488342832e-07
241152 176.625 2.08899644232742e-07 2.08135665278345e-07 2.09401304517438e-07
241664 177 2.09154364073049e-07 2.08352887357642e-07 2.09597871450285e-07
242176 177.375 2.07122155092654e-07 2.06309154912148e-07 2.07586414638802e-07
242688 177.75 2.0920642187337e-07 2.08412246077448e-07 2.0971301303926e-07
243200 178.125 2.06015716622152e-07 2.05156984660698e-07 2.06448736949526e-07
243712 178.5 2.08204732643323e-07 2.07387602474234e-07 2.08559656084563e-07
244224 178.875 2.05178473232284e-07 2.0430992696702e-07 2.05510872435419e-07
244736 179.25 2.05376364406306e-07 2.04451521605393e-07 2.05705581350026e-07
245248 179.625 2.04078399915597e-07 2.03126122822845e-07 2.04340452104072e-07
245760 180 2.06926129825181e-07 2.05994214647591e-07 2.07197960953309e-07
246272 180.375 2.05965963388396e-07 2.04991804998786e-07 2.06270657287904e-07
246784 180.75 2.03317405518829e-07 2.02245652038422e-07 2.03591080739339e-07
247296 181.125 2.03697052716132e-07 2.02670376804437e-07 2.03965234831036e-07
247808 181.5 2.01931736673026e-07 2.00951622804984e-07 2.02218744545753e-07
248320 181.875 2.04608695408757e-07 2.03573533464138e-07 2.04889182400363e-07
248832 182.25 2.01244741738884e-07 2.0009460730408e-07 2.01451491863661e-07
249344 182.625 2.02058798107126e-07 2.00889699057982e-07 2.02203965465613e-07
249856 183 2.00668890311335e-07 1.9958645585873e-07 2.00918407612521e-07
250368 183.375 2.02866037256939e-07 2.01840831456932e-07 2.03185062843996e-07
250880 183.75 2.0148164521184e-07 2.00416367809474e-07 2.01720111392909e-07
251392 184.125 2.00165490553522e-07 1.99087309456073e-07 2.00320493143366e-07
251904 184.5 1.99120247265145e-07 1.98163365708593e-07 1.99383716392101e-07
252416 184.875 1.99100966320969e-07 1.98200662146623e-07 1.99460609130487e-07
252928 185.25 2.00510342992088e-07 1.9956250326573e-07 2.00825781135259e-07
253440 185.625 2.00068112647643e-07 1.99161832543798e-07 2.00344601184987e-07
253952 186 1.99458146714316e-07 1.98675095781878e-07 1.99756705978656e-07
254464 186.375 1.96654798731045e-07 1.9589555056194e-07 1.97014739425167e-07
254976 186.75 1.98182398521395e-07 1.974065540319e-07 1.98611915783417e-07
255488 187.125 1.973131899695e-07 1.96613690869752e-07 1.97796769710345e-07
256000 187.5 1.97488172520785e-07 1.96941728159544e-07 1.98010924909179e-07
256512 187.875 1.96071140712715e-07 1.95586181575881e-07 1.96601572397916e-07
257024 188.25 1.96871069700936e-07 1.96405019379799e-07 1.97495483514888e-07
257536 188.625 1.97006145555247e-07 1.96592949555596e-07 1.976747574556e-07
258048 189 1.95775083232968e-07 1.95461963454446e-07 1.96494385161103e-07
258560 189.375 1.94833072751794e-07 1.94618250969141e-07 1.95645830753283e-07
259072 189.75 1.95508637160679e-07 1.95365231964198e-07 1.96403040151188e-07
259584 190.125 1.94835391352824e-07 1.94668882618148e-07 1.95755188458933e-07
260096 190.5 1.94403582484597e-07 1.94274199966728e-07 1.95331030845831e-07
260608 190.875 1.94610140861654e-07 1.9456323515569e-07 1.95590777624685e-07
261120 191.25 1.93615078265374e-07 1.9367625859871e-07 1.94707598840772e-07
261632 191.625 1.94162311887482e-07 1.94228247951655e-07 1.95290642792095e-07
262144 192 1.93148207634095e-07 1.932003417141e-07 1.9431651384281e-07
262656 192.375 1.93932896802989e-07 1.94073910754397e-07 1.95198779333028e-07
263168 192.75 1.90827879978373e-07 1.91017415461207e-07 1.92129825486799e-07
263680 193.125 1.92410403582161e-07 1.92589768876125e-07 1.93735792906552e-07
264192 193.5 1.93300660969067e-07 1.93467062763965e-07 1.94625786476095e-07
264704 193.875 1.92519390682457e-07 1.92737867152658e-07 1.93918216208886e-07
265216 194.25 1.91135914026806e-07 1.9140455475713e-07 1.92598175984722e-07
265728 194.625 1.90680924754289e-07 1.90954757375437e-07 1.92166551158794e-07
266240 195 1.91522761959539e-07 1.91809910491678e-07 1.93037164259037e-07
266752 195.375 1.90729571578697e-07 1.91015885597014e-07 1.92248349656471e-07
267264 195.75 1.91565678050038e-07 1.91830073672462e-07 1.9302785428577e-07
267776 196.125 1.89398400517146e-07 1.89653273278323e-07 1.90815146275381e-07
268288 196.5 1.89752999146843e-07 1.89981779947375e-07 1.91141553587909e-07
268800 196.875 1.89853681738486e-07 1.90031816448541e-07 1.9123916613615e-07
269312 197.25 1.90207927526693e-07 1.90398161397041e-07 1.91639013850988e-07
269824 197.625 1.88565253977148e-07 1.88779999981369e-07 1.90001723209733e-07
270336 198 1.88336651106332e-07 1.88567805480194e-07 1.89709516110864e-07
270848 198.375 1.89929948318803e-07 1.90092568367025e-07 1.91262714122673e-07
271360 198.75 1.89510899243625e-07 1.89647148275674e-07 1.90863338537283e-07
271872 199.125 1.88114270556418e-07 1.88242502863213e-07 1.8939661099303e-07
272384 199.5 1.8659483289039e-07 1.8668762841872e-07 1.87790475849587e-07
272896 199.875 1.87116801833497e-07 1.87127148954778e-07 1.88282129784848e-07
273408 200.25 1.88488881639708e-07 1.88449924131031e-07 1.89616546044778e-07
273920 200.625 1.88840929777279e-07 1.88830226096651e-07 1.89888786745132e-07
274432 201 1.87451133668504e-07 1.87396815491828e-07 1.88418355909552e-07
274944 201.375 1.86442474878689e-07 1.8632769241094e-07 1.87343760733847e-07
275456 201.75 1.86708084151331e-07 1.86547965062199e-07 1.87544907175945e-07
275968 202.125 1.87287891495572e-07 1.87154005396978e-07 1.88070374799261e-07
276480 202.5 1.85783639707913e-07 1.85605791184691e-07 1.86498712382796e-07
276992 202.875 1.85252258285808e-07 1.84954220164511e-07 1.85845370572447e-07
277504 203.25 1.86246781672975e-07 1.85919064489328e-07 1.86777801531953e-07
278016 203.625 1.87105077448042e-07 1.86824611853622e-07 1.87611603004202e-07
278528 204 1.86717788784134e-07 1.86468747064438e-07 1.87221233758474e-07
279040 204.375 1.85510502977337e-07 1.85113767742288e-07 1.85876302044578e-07
279552 204.75 1.85368726026932e-07 1.84913406173604e-07 1.85576327114923e-07
280064 205.125 1.84185790251396e-07 1.83791614946362e-07 1.84378251765173e-07
280576 205.5 1.85670105485937e-07 1.85324813064927e-07 1.85854919408442e-07
281088 205.875 1.85447524584524e-07 1.85019985614457e-07 1.85561526166692e-07
281600 206.25 1.8486594562091e-07 1.84301161688223e-07 1.84831192556595e-07
282112 206.625 1.85232621730011e-07 1.84689225624114e-07 1.85126139566413e-07
282624 207 1.85539701926267e-07 1.85040757384895e-07 1.85442037453665e-07
283136 207.375 1.85376112756498e-07 1.84840828749483e-07 1.85259322333189e-07
283648 207.75 1.83213640515358e-07 1.8258788280198e-07 1.83037670822503e-07
284160 208.125 1.83320618726096e-07 1.82705780588024e-07 1.83097729440067e-07
284672 208.5 1.84295151414284e-07 1.83722655116758e-07 1.84079834565348e-07
285184 208.875 1.84963424139229e-07 1.84375751037469e-07 1.8477137629824e-07
285696 209.25 1.84379739656976e-07 1.83841806412009e-07 1.84273148456056e-07
286208 209.625 1.83498123315422e-07 1.83030662000205e-07 1.83423180645046e-07
286720 210 1.83368056932441e-07 1.82910172123347e-07 1.83275256373779e-07
287232 210.375 1.8366129217702e-07 1.83230930094724e-07 1.83636944086804e-07
287744 210.75 1.83033046775057e-07 1.82675684925188e-07 1.83082062398099e-07
288256 211.125 1.82518041018863e-07 1.8226090144005e-07 1.82617006545661e-07
288768 211.5 1.82545186654019e-07 1.82346612033594e-07 1.82749539443684e-07
289280 211.875 1.83901321938098e-07 1.83797166687868e-07 1.84261601395392e-07
289792 212.25 1.83320301692066e-07 1.83278059425069e-07 1.83719037267591e-07
290304 212.625 1.8157130847224e-07 1.81559123969733e-07 1.81992385766868e-07
