# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
228864 167.625 2.97193955412806e-05
229376 168 2.97446450965945e-05
229888 168.375 2.97720001104579e-05
230400 168.75 2.97962619936854e-05
230912 169.125 2.98224581945763e-05
231424 169.5 2.98451125139036e-05
231936 169.875 2.98738680436114e-05
232448 170.25 2.98981734795485e-05
232960 170.625 2.99248412232921e-05
233472 171 2.99488889216928e-05
233984 171.375 2.99736081026854e-05
234496 171.75 3.00010127954884e-05
235008 172.125 3.00248591822513e-05
235520 172.5 3.0051722004117e-05
236032 172.875 3.00739710068109e-05
236544 173.25 3.01025284759082e-05
237056 173.625 3.01265624953549e-05
237568 174 3.015348059763e-05
238080 174.375 3.0176588427177e-05
238592 174.75 3.02019333130931e-05
239104 175.125 3.02284210637203e-05
239616 175.5 3.02533666970496e-05
240128 175.875 3.02793516508887e-05
240640 176.25 3.03034057052188e-05
241152 176.625 3.03297102437069e-05
241664 177 3.03544489253476e-05
242176 177.375 3.03802613514542e-05
242688 177.75 3.04045687452513e-05
243200 178.125 3.04297950641558e-05
243712 178.5 3.04556915228588e-05
244224 178.875 3.04812966156979e-05
244736 179.25 3.05054908685877e-05
245248 179.625 3.05304195989492e-05
245760 180 3.05555009849931e-05
246272 180.375 3.05808819906567e-05
246784 180.75 3.06057260656805e-05
247296 181.125 3.06310071296913e-05
247808 181.5 3.06553129194854e-05
248320 181.875 3.06810518284271e-05
248832 182.25 3.07051798832779e-05
249344 182.625 3.07299261786976e-05
249856 183 3.07549363464557e-05
250368 183.375 3.07799885990973e-05
250880 183.75 3.08048098401054e-05
251392 184.125 3.08287850679809e-05
251904 184.5 3.08534953111626e-05
252416 184.875 3.08777426046787e-05
252928 185.25 3.09028755298421e-05
253440 185.625 3.09272908663717e-05
253952 186 3.09520920613257e-05
254464 186.375 3.09755099995082e-05
254976 186.75 3.09999973435699e-05
255488 187.125 3.10248471299255e-05
256000 187.5 3.10497718413899e-05
256512 187.875 3.1073541758147e-05
257024 188.25 3.1097303237574e-05
257536 188.625 3.11219231355059e-05
258048 189 3.11472227934196e-05
258560 189.375 3.11713229961824e-05
259072 189.75 3.11947704225065e-05
259584 190.125 3.12188705389104e-05
260096 190.5 3.12442662919717e-05
260608 190.875 3.1268754843504e-05
261120 191.25 3.12923085226642e-05
261632 191.625 3.13162839539258e-05
262144 192 3.13416597690088e-05
262656 192.375 3.1366213427806e-05
263168 192.75 3.13900676121318e-05
263680 193.125 3.14136659801276e-05
264192 193.5 3.14394411861285e-05
264704 193.875 3.14648520616979e-05
265216 194.25 3.1487819498777e-05
265728 194.625 3.15121141315216e-05
266240 195 3.15372457382076e-05
266752 195.375 3.15644869378777e-05
267264 195.75 3.15863707675263e-05
267776 196.125 3.16106162654636e-05
268288 196.5 3.16354625384856e-05
268800 196.875 3.16634319342094e-05
269312 197.25 3.16871173287836e-05
269824 197.625 3.17091579324489e-05
270336 198 3.17347317112436e-05
270848 198.375 3.17617693167487e-05
271360 198.75 3.17877555382805e-05
271872 199.125 3.18088555818158e-05
272384 199.5 3.1833765608e-05
272896 199.875 3.18601233946682e-05
273408 200.25 3.18869337207052e-05
273920 200.625 3.19094294946383e-05
274432 201 3.19329635818823e-05
274944 201.375 3.19588779470411e-05
275456 201.75 3.19855735334345e-05
275968 202.125 3.20094857443021e-05
276480 202.5 3.20323045372824e-05
276992 202.875 3.20583287196416e-05
277504 203.25 3.20841763461777e-05
278016 203.625 3.21092377285391e-05
278528 204 3.21317048168249e-05
279040 204.375 3.21578769571126e-05
279552 204.75 3.21831509964539e-05
280064 205.125 3.22087575861912e-05
280576 205.5 3.22314805823657e-05
281088 205.875 3.22562312388092e-05
281600 206.25 3.22826348763089e-05
282112 206.625 3.23069690265992e-05
282624 207 3.23307606185618e-05
283136 207.375 3.23541295173302e-05
283648 207.75 3.23809236574851e-05
284160 208.125 3.24048811376655e-05
284672 208.5 3.24292114267796e-05
285184 208.875 3.2451833353031e-05
285696 209.25 3.24776755138233e-05
286208 209.625 3.25024917372392e-05
286720 210 3.25265633657234e-05
287232 210.375 3.25496344258276e-05
287744 210.75 3.25737804864983e-05
288256 211.125 3.25993274138407e-05
288768 211.5 3.26228056305835e-05
289280 211.875 3.26465116560279e-05
289792 212.25 3.26696726247651e-05
290304 212.625 3.2694981287217e-05
290816 213 3.27183233827437e-05
291328 213.375 3.27423764931644e-05
291840 213.75 3.27651300009605e-05
292352 214.125 3.2789805048924e-05
292864 214.5 3.28135052879653e-05
293376 214.875 3.28372505850083e-05
293888 215.25 3.28605518548962e-05
294400 215.625 3.28845658692189e-05
294912 216 3.29084733458573e-05
295424 216.375 3.29317108190453e-05
295936 216.75 3.29553180751374e-05
296448 217.125 3.29789111209281e-05
296960 217.5 3.30032543483709e-05
297472 217.875 3.30262883847404e-05
297984 218.25 3.30501247331409e-05
298496 218.625 3.30735604427164e-05
299008 219 3.30975502062792e-05
299520 219.375 3.3120858729193e-05
300032 219.75 3.31446524545756e-05
300544 220.125 3.31682295364327e-05
301056 220.5 3.31917914878888e-05
301568 220.875 3.32152511817423e-05
302080 221.25 3.32388207284228e-05
302592 221.625 3.32627797777994e-05
303104 222 3.32861402143709e-05
303616 222.375 3.33097273816106e-05
304128 222.75 3.33327860190988e-05
304640 223.125 3.33569897309958e-05
305152 223.5 3.33807102912249e-05
305664 223.875 3.34039175108239e-05
306176 224.25 3.34270515980111e-05
306688 224.625 3.3450845864039e-05
307200 225 3.34747297148477e-05
307712 225.375 3.34981996796986e-05
308224 225.75 3.35215620466798e-05
308736 226.125 3.35445828235975e-05
309248 226.5 3.35689541712087e-05
309760 226.875 3.35921767230374e-05
310272 227.25 3.36158478226166e-05
310784 227.625 3.36388532974385e-05
311296 228 3.36631052532096e-05
311808 228.375 3.36860750937828e-05
312320 228.75 3.37099392161588e-05
312832 229.125 3.37332348539057e-05
313344 229.5 3.37572408617161e-05
313856 229.875 3.37806795453849e-05
314368 230.25 3.38035750788834e-05
314880 230.625 3.38277039112636e-05
315392 231 3.38512088451444e-05
315904 231.375 3.38756941344831e-05
316416 231.75 3.38976261134809e-05
316928 232.125 3.39218524654356e-05
317440 232.5 3.39452334502613e-05
317952 232.875 3.39702017245954e-05
318464 233.25 3.39927464240817e-05
318976 233.625 3.40157344482895e-05
319488 234 3.40395959502505e-05
320000 234.375 3.40641976615817e-05
320512 234.75 3.40882293576894e-05
321024 235.125 3.41103725509395e-05
321536 235.5 3.41342944676276e-05
322048 235.875 3.41581593481299e-05
322560 236.25 3.41831338490322e-05
323072 236.625 3.42057603023717e-05
323584 237 3.4229077020298e-05
324096 237.375 3.42528326947489e-05
324608 237.75 3.42777104598569e-05
325120 238.125 3.43012082182798e-05
325632 238.5 3.43241525110279e-05
326144 238.875 3.43479835968013e-05
326656 239.25 3.43721213148995e-05
327168 239.625 3.43962672751179e-05
327680 240 3.44196157435211e-05
328192 240.375 3.44431544886295e-05
328704 240.75 3.44672264678875e-05
329216 241.125 3.44915037246229e-05
329728 241.5 3.45150462827706e-05
330240 241.875 3.45387166530186e-05
330752 242.25 3.45628382811678e-05
331264 242.625 3.45871918962455e-05
331776 243 3.4610947377036e-05
332288 243.375 3.46347261503994e-05
332800 243.75 3.46586873930139e-05
333312 244.125 3.46833356548538e-05
333824 244.5 3.47071961209671e-05
334336 244.875 3.47309962447639e-05
334848 245.25 3.47547140966641e-05
335360 245.625 3.47795046995047e-05
335872 246 3.48039019884917e-05
336384 246.375 3.48273939668571e-05
336896 246.75 3.4851094776011e-05
337408 247.125 3.48755159211396e-05
337920 247.5 3.49004172339445e-05
338432 247.875 3.49240855613999e-05
338944 248.25 3.49477262832073e-05
339456 248.625 3.4971487503465e-05
339968 249 3.49964969883169e-05
340480 249.375 3.50207658470475e-05
340992 249.75 3.50443016154889e-05
341504 250.125 3.5067703337438e-05
342016 250.5 3.50920814832497e-05
342528 250.875 3.51168070742046e-05
343040 251.25 3.51406786685924e-05
343552 251.625 3.5163895089999e-05
344064 252 3.51876139631008e-05
344576 252.375 3.52122502478416e-05
345088 252.75 3.52364481212752e-05
345600 253.125 3.52598389181731e-05
346112 253.5 3.52830357423658e-05
346624 253.875 3.53072378545405e-05
347136 254.25 3.53313695770587e-05
347648 254.625 3.53550429600367e-05
348160 255 3.5378111695116e-05
348672 255.375 3.54017237795375e-05
349184 255.75 3.54257588658907e-05
349696 256.125 3.54494061206295e-05
350208 256.5 3.54724628337936e-05
350720 256.875 3.54956729558724e-05
351232 257.25 3.55193476961327e-05
351744 257.625 3.55429010735083e-05
