# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
156160 114.375 0.00127867298611904
156672 114.75 0.00127875333796656
157184 115.125 0.00127883322031206
157696 115.5 0.00127891274175928
158208 115.875 0.0012789916284085
158720 116.25 0.00127906950627695
159232 116.625 0.00127914666880776
159744 117 0.00127922304380521
160256 117.375 0.00127929837625904
160768 117.75 0.00127937258665421
161280 118.125 0.00127944554316185
161792 118.5 0.00127951728068762
162304 118.875 0.00127958755774778
162816 119.25 0.0012796564310613
163328 119.625 0.00127972385634014
163840 120 0.00127978966559264
164352 120.375 0.00127985384708992
164864 120.75 0.00127991629563343
165376 121.125 0.00127997694567778
165888 121.5 0.00128003558881443
166400 121.875 0.00128009234559151
166912 122.25 0.00128014727950222
167424 122.625 0.00128020017916614
167936 123 0.00128025092004707
168448 123.375 0.00128029939793454
168960 123.75 0.00128034567387329
169472 124.125 0.0012803898261542
169984 124.5 0.00128043171612807
170496 124.875 0.00128047110181772
171008 125.25 0.001280507841958
171520 125.625 0.00128054212447314
172032 126 0.00128057379410188
172544 126.375 0.00128060288134804
173056 126.75 0.00128062939201819
173568 127.125 0.00128065274085475
174080 127.5 0.00128067312969623
174592 127.875 0.00128069081879428
175104 128.25 0.00128070545654386
175616 128.625 0.00128071694210283
176128 129 0.001280725209368
176640 129.375 0.00128073025375762
177152 129.75 0.00128073199480185
177664 130.125 0.00128073036774221
178176 130.5 0.00128072541720077
178688 130.875 0.00128071699257274
179200 131.25 0.00128070504769335
179712 131.625 0.00128068960246578
180224 132 0.00128067059088368
180736 132.375 0.00128064815266428
181248 132.75 0.0012806223111592
181760 133.125 0.00128059281322695
182272 133.5 0.00128055985695226
182784 133.875 0.00128052363715751
183296 134.25 0.00128048403269829
183808 134.625 0.00128044126554701
184320 135 0.00128039538887332
184832 135.375 0.00128034628943209
185344 135.75 0.00128029424949867
185856 136.125 0.00128023956238575
186368 136.5 0.00128018234242674
186880 136.875 0.00128012250962309
187392 137.25 0.00128006021525116
187904 137.625 0.00127999580724225
188416 138 0.00127992944033452
188928 138.375 0.00127986142169475
189440 138.75 0.00127979176857431
189952 139.125 0.0012797203628643
190464 139.5 0.0012796477908048
190976 139.875 0.00127957446376099
191488 140.25 0.00127950022850947
192000 140.625 0.0012794251988418
192512 141 0.00127934973244638
193024 141.375 0.00127927409509264
193536 141.75 0.001279198381448
194048 142.125 0.00127912284158238
194560 142.5 0.00127904761823551
195072 142.875 0.00127897279362023
195584 143.25 0.0012788987344481
196096 143.625 0.00127882547776593
196608 144 0.00127875310042457
197120 144.375 0.00127868199149845
197632 144.75 0.00127861220907828
198144 145.125 0.00127854364713342
198656 145.5 0.00127847660954417
199168 145.875 0.00127841138290737
199680 146.25 0.00127834781540705
200192 146.625 0.00127828612941548
200704 147 0.00127822646715548
201216 147.375 0.00127816864848676
201728 147.75 0.00127811295928013
202240 148.125 0.00127805967825458
202752 148.5 0.00127800861957813
203264 148.875 0.00127795968045324
203776 149.25 0.00127791312508399
204288 149.625 0.00127786916534294
