# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
28672 21 497.775385054868 445.465463848045 156.475717067719 151.875730037689 147.63897061348 0 8.88384246826172 392 555136.808093547 555136.808093547 84311808 84311808 401529.961270748 401529.961270748 60982656 60982656 724.248458767309 1813770.38291187 11043.544194163 1802726.83871771 6482 16426236 97788 16328448 0 0 0 0 156.140482902527 1718376904.96727 84847
29184 21.375 498.087367350056 446.344231483532 159.090955972672 154.490968942642 150.188430786133 0 8.91406917572021 399 555484.741841844 555484.741841844 85817376 85817376 401781.621442515 401781.621442515 62071632 62071632 730.579230467615 1845261.16531966 11124.4841126369 1834136.68120702 6508 16427699 99251 16328448 0 0 0 0 158.749848842621 1718376907.58251 86355
29696 21.75 498.307926319186 447.208052791322 161.73174405098 157.13175702095 152.753106117249 0 9.00367498397827 406 555730.717046315 555730.717046315 87322944 87322944 401959.535089898 401959.535089898 63160608 63160608 735.300838359626 1831716.47207359 11203.369680617 1820513.10239297 6642 16456324 100804 16355520 0 0 0 0 161.384308815002 1718376910.22329 87863
30208 22.125 498.465152786962 448.050116605785 164.390495061874 159.790508031845 155.366923332214 0 9.03361058235168 413 555906.061593453 555906.061593453 88828512 88828512 402086.361645433 402086.361645433 64249584 64249584 738.510226288307 1823849.63438641 11316.8048151425 1812532.82957127 6668 16457854 102334 16355520 0 0 0 0 164.036778926849 1718376912.88205 89371
30720 22.5 498.429451591715 448.886223360851 167.110448122025 162.510461091995 157.957670927048 0 9.20070838928223 420 555866.246351138 555866.246351138 90334080 90334080 402057.563315956 402057.563315956 65338560 65338560 747.969698613137 1870938.0371892 11326.726062653 1859611.31112655 6928 17522696 103880 17418816 0 0 0 0 166.749737739563 1718376915.602 90879
31232 22.875 498.499507408337 449.683116187925 169.795737028122 165.195749998093 160.576104640961 0 9.22955656051636 427 555944.375088708 555944.375088708 91839648 91839648 402114.073762594 402114.073762594 66427536 66427536 753.826151428573 1900725.02504578 11407.1793303227 1889317.84571546 6954 17524203 105387 17418816 0 0 0 0 169.429488658905 1718376918.28729 92387
31744 23.25 498.437531900999 450.468641519418 172.524741172791 167.924754142761 163.228008508682 0 9.32241940498352 434 555875.257799351 555875.257799351 93345216 93345216 402064.081288461 402064.081288461 67516512 67516512 758.115808493675 1886988.11010531 11480.1623168151 1875507.9477885 7088 17552829 106941 17445888 0 0 0 0 172.152122497559 1718376921.01629 93895
32256 23.625 498.491288297497 451.217423315761 175.214804172516 170.614817142487 165.873856067657 0 9.35237765312195 441 555935.208844064 555935.208844064 94850784 94850784 402107.443825967 402107.443825967 68605488 68605488 761.16470407345 1879268.22876468 11589.7228830222 1867678.50588165 7114 17554363 108475 17445888 0 0 0 0 174.83630490303 1718376923.70636 95403
32768 24 498.159861223192 451.978787080004 178.038288116455 173.438301086426 168.571865558624 0 9.51148104667664 448 555565.589586725 555565.589586725 96356352 96356352 401840.098544731 401840.098544731 69694464 69694464 770.301553248108 1924780.75943561 11600.1582782887 1913180.60115732 7374 18619193 110009 18509184 0 0 0 0 177.631436824799 1718376926.52984 96911
33280 24.375 498.227499493745 452.676081313508 180.724348068237 176.124361038208 171.195427417755 0 9.53818678855896 455 555641.022190962 555641.022190962 97861920 97861920 401894.658880519 401894.658880519 70783440 70783440 776.163457676159 1954097.81264762 11675.9288990795 1942421.88374854 7400 18620659 111475 18509184 0 0 0 0 180.333570718765 1718376929.2159 98419
33792 24.75 498.121238503901 453.36846717161 183.472103118896 178.872116088867 173.865303516388 0 9.63315415382385 462 555522.516156919 555522.516156919 99367488 99367488 401808.943571129 401808.943571129 71872416 71872416 780.072480958503 1940216.80176746 11742.724389769 1928474.07737769 7534 18649279 113023 18536256 0 0 0 0 183.074887037277 1718376931.96365 99927
