# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
82432 60.375 -1.43146834660071e-05 -1.43172746278622e-05 -1.43159925379944e-05
82944 60.75 -1.40023665426938e-05 -1.40061751868009e-05 -1.4008706428904e-05
83456 61.125 -1.36729230782609e-05 -1.3675260188224e-05 -1.36740521069941e-05
83968 61.5 -1.32999818819086e-05 -1.33024161755688e-05 -1.33006709302057e-05
84480 61.875 -1.30607708948649e-05 -1.30626826900503e-05 -1.30679549838432e-05
84992 62.25 -1.29510919121199e-05 -1.29529056066117e-05 -1.29551489565912e-05
85504 62.625 -1.28258044126516e-05 -1.28275171701326e-05 -1.2829647105895e-05
86016 63 -1.26397357175707e-05 -1.2641327921422e-05 -1.26434846247238e-05
86528 63.375 -1.2236401947457e-05 -1.22374691331888e-05 -1.22410243547311e-05
87040 63.75 -1.1897457984109e-05 -1.18986662277234e-05 -1.19046937281717e-05
87552 64.125 -1.17328890113237e-05 -1.17350117355236e-05 -1.17370437471282e-05
88064 64.5 -1.17203254071725e-05 -1.17227415084695e-05 -1.17223706293437e-05
88576 64.875 -1.1708645484203e-05 -1.17111379184936e-05 -1.17104049895666e-05
89088 65.25 -1.15997291701296e-05 -1.16034551286217e-05 -1.16070576906493e-05
89600 65.625 -1.13586309044342e-05 -1.13628043906746e-05 -1.13658536639704e-05
90112 66 -1.09474973506407e-05 -1.09523313584063e-05 -1.09546655146997e-05
90624 66.375 -1.08795050009544e-05 -1.08836659612584e-05 -1.08791967144542e-05
91136 66.75 -1.08243075468233e-05 -1.08284448506169e-05 -1.08236886966795e-05
91648 67.125 -1.06737596862318e-05 -1.06775085565881e-05 -1.06738994824679e-05
