# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
181248 132.75 0.967926460540004
181760 133.125 0.967926368804926
182272 133.5 0.967926289274481
182784 133.875 0.967926226992425
183296 134.25 0.967926158212913
183808 134.625 0.967926068846437
184320 135 0.967925974453727
184832 135.375 0.967925887625903
185344 135.75 0.967925803097103
185856 136.125 0.967925715582828
186368 136.5 0.967925623875319
186880 136.875 0.967925530403183
187392 137.25 0.96792544283159
187904 137.625 0.967925362072752
188416 138 0.967925281579015
188928 138.375 0.967925200739962
189440 138.75 0.967925124092886
189952 139.125 0.967925055668012
190464 139.5 0.96792499354867
190976 139.875 0.967924925383812
191488 140.25 0.967924848485822
192000 140.625 0.967924780826975
192512 141 0.967924728270392
193024 141.375 0.967924672463394
193536 141.75 0.967924603004522
194048 142.125 0.9679245311241
194560 142.5 0.967924474822484
195072 142.875 0.967924437699501
195584 143.25 0.967924398305792
196096 143.625 0.967924340451366
196608 144 0.967924281147151
197120 144.375 0.967924238052605
197632 144.75 0.967924200595759
198144 145.125 0.967924153482096
198656 145.5 0.967924098051223
199168 145.875 0.967924047300188
199680 146.25 0.967924010035387
200192 146.625 0.967923977958947
200704 147 0.967923940436082
201216 147.375 0.967923901380443
201728 147.75 0.967923862676231
202240 148.125 0.967923818492452
202752 148.5 0.96792377443458
203264 148.875 0.967923742519424
203776 149.25 0.967923724855845
204288 149.625 0.967923715128449
204800 150 0.967923701676927
205312 150.375 0.967923677751853
205824 150.75 0.967923652951811
206336 151.125 0.967923635404403
206848 151.5 0.967923617175554
207360 151.875 0.967923593360772
207872 152.25 0.967923572652262
208384 152.625 0.967923562352111
208896 153 0.967923557867482
209408 153.375 0.967923547936246
209920 153.75 0.96792352855209
210432 154.125 0.96792350871705
210944 154.5 0.967923496994132
211456 154.875 0.967923489240532
211968 155.25 0.967923475083161
212480 155.625 0.967923451409801
212992 156 0.96792342656574
213504 156.375 0.967923410907097
214016 156.75 0.967923404658621
214528 157.125 0.967923398503406
215040 157.5 0.967923384604838
215552 157.875 0.967923363680143
216064 158.25 0.967923342830875
216576 158.625 0.967923328669392
217088 159 0.967923321176528
217600 159.375 0.967923314194082
218112 159.75 0.967923303607534
218624 160.125 0.967923291420911
219136 160.5 0.967923279678931
219648 160.875 0.967923267066281
220160 161.25 0.967923253111742
220672 161.625 0.967923239597704
221184 162 0.967923227910621
221696 162.375 0.967923218406274
222208 162.75 0.967923211004486
222720 163.125 0.96792320441315
223232 163.5 0.967923196307856
223744 163.875 0.967923186971577
224256 164.25 0.967923180325946
224768 164.625 0.967923177358347
225280 165 0.967923173363821
225792 165.375 0.96792316629021
226304 165.75 0.967923161412283
226816 166.125 0.967923163556818
227328 166.5 0.967923169598894
227840 166.875 0.967923172353394
228352 167.25 0.967923170526787
228864 167.625 0.967923169996498
229376 168 0.967923173878364
229888 168.375 0.967923178659984
230400 168.75 0.967923181847894
230912 169.125 0.967923186259867
231424 169.5 0.967923196725786
231936 169.875 0.967923213675789
232448 170.25 0.96792322926924
232960 170.625 0.967923237328068
233472 171 0.967923244361023
233984 171.375 0.96792325944664
234496 171.75 0.967923281019241
235008 172.125 0.967923300705777
235520 172.5 0.967923313739254
236032 172.875 0.967923325992823
236544 173.25 0.9679233472774
237056 173.625 0.967923375697126
237568 174 0.967923401753637
238080 174.375 0.967923423472059
238592 174.75 0.967923444885255
239104 175.125 0.967923469222555
239616 175.5 0.9679234965226
240128 175.875 0.967923523324304
240640 176.25 0.96792354996039
241152 176.625 0.967923581912671
241664 177 0.967923619224188
242176 177.375 0.967923655040329
242688 177.75 0.967923684471027
243200 178.125 0.967923711071048
243712 178.5 0.96792374459785
244224 178.875 0.967923787314862
244736 179.25 0.967923829180838
245248 179.625 0.967923863364077
245760 180 0.967923894835957
246272 180.375 0.967923931458288
246784 180.75 0.96792397453424
247296 181.125 0.967924017424894
247808 181.5 0.967924055010111
248320 181.875 0.96792409212267
248832 182.25 0.967924134699676
249344 182.625 0.967924179878541
249856 183 0.967924221524934
250368 183.375 0.967924258584942
250880 183.75 0.967924296921836
251392 184.125 0.967924343000228
251904 184.5 0.967924393186959
252416 184.875 0.967924437502927
252928 185.25 0.967924475330708
253440 185.625 0.967924515356268
253952 186 0.967924561905212
254464 186.375 0.967924610664465
254976 186.75 0.967924655087163
255488 187.125 0.967924694972964
256000 187.5 0.967924738111456
256512 187.875 0.967924788017415
257024 188.25 0.967924836766947
257536 188.625 0.96792487908204
258048 189 0.967924921528201
258560 189.375 0.967924969682753
259072 189.75 0.967925019154316
259584 190.125 0.967925064170409
260096 190.5 0.967925106255992
260608 190.875 0.967925151607269
261120 191.25 0.967925202179733
261632 191.625 0.967925252597224
262144 192 0.967925298404702
262656 192.375 0.967925342730393
263168 192.75 0.967925390713279
263680 193.125 0.967925441836735
264192 193.5 0.967925491113412
264704 193.875 0.967925535960582
265216 194.25 0.967925579854779
265728 194.625 0.967925627703788
266240 195 0.967925679016858
266752 195.375 0.967925729106162
267264 195.75 0.967925775687803
267776 196.125 0.967925821103142
268288 196.5 0.967925868611926
268800 196.875 0.967925918019824
269312 197.25 0.967925966672097
269824 197.625 0.967926014410404
270336 198 0.967926063104308
270848 198.375 0.96792611219914
271360 198.75 0.967926159902548
271872 199.125 0.967926206465985
272384 199.5 0.967926253527268
272896 199.875 0.96792630234415
273408 200.25 0.967926351697629
273920 200.625 0.967926398515254
274432 201 0.967926443550997
274944 201.375 0.967926490903656
275456 201.75 0.967926540184769
275968 202.125 0.967926587567473
276480 202.5 0.967926632962748
276992 202.875 0.967926678657562
277504 203.25 0.967926725258804
278016 203.625 0.967926772355342
278528 204 0.967926818746802
279040 204.375 0.967926863452421
279552 204.75 0.967926907914532
280064 205.125 0.967926953397201
280576 205.5 0.967926999058107
281088 205.875 0.967927044498663
281600 206.25 0.96792708919502
282112 206.625 0.967927132296047
282624 207 0.967927175323494
283136 207.375 0.967927219327784
283648 207.75 0.967927263271153
284160 208.125 0.967927307283948
284672 208.5 0.967927350168694
285184 208.875 0.967927390416224
285696 209.25 0.967927431837883
286208 209.625 0.967927475886676
286720 210 0.967927517554538
287232 210.375 0.967927556315638
287744 210.75 0.967927595477804
288256 211.125 0.967927635335567
288768 211.5 0.967927676353893
289280 211.875 0.967927717004619
289792 212.25 0.967927753274987
290304 212.625 0.967927787892465
290816 213 0.967927826105839
291328 213.375 0.967927865912018
291840 213.75 0.967927903357572
292352 214.125 0.967927937768543
292864 214.5 0.967927970523686
293376 214.875 0.96792800485851
293888 215.25 0.967928041549001
294400 215.625 0.967928076390523
294912 216 0.967928107224959
295424 216.375 0.967928137196393
295936 216.75 0.967928168915799
296448 217.125 0.967928201239789
296960 217.5 0.967928231804033
