# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
90624 88.5 4.7410561018434e-07 4.74121908186797e-07 4.74036253368958e-07
91136 89 4.64670189543561e-07 4.64700026355913e-07 4.64596035503879e-07
91648 89.5 4.42498813572195e-07 4.42525316755803e-07 4.42428838061476e-07
92160 90 4.38262412866328e-07 4.38275776907775e-07 4.38204081718559e-07
92672 90.5 4.30173252379352e-07 4.30203447995851e-07 4.30124072077736e-07
93184 91 4.08371867291434e-07 4.08417922809408e-07 4.08318412560863e-07
93696 91.5 4.02330673787413e-07 4.02380122901759e-07 4.02310959545318e-07
94208 92 3.97846753718747e-07 3.97881354610903e-07 3.97811047949261e-07
94720 92.5 3.81879197661305e-07 3.81896294343884e-07 3.81833312066335e-07
95232 93 3.67274338608399e-07 3.67303381955373e-07 3.67244836844094e-07
95744 93.5 3.6684343800335e-07 3.66916902401802e-07 3.66824816219392e-07
96256 94 3.6075543121365e-07 3.60820367084769e-07 3.60709634044338e-07
96768 94.5 3.49150212387185e-07 3.49197914990272e-07 3.49174294951521e-07
97280 95 3.41230248920615e-07 3.41244524914479e-07 3.4120897060682e-07
97792 95.5 3.43236466200584e-07 3.43248468044075e-07 3.43179016057419e-07
98304 96 3.33730970551094e-07 3.33792359392311e-07 3.33719034520215e-07
98816 96.5 3.23112183700994e-07 3.23180193591963e-07 3.2309706284786e-07
99328 97 3.21590044832665e-07 3.21612121274332e-07 3.21559490728217e-07
99840 97.5 3.25451233514639e-07 3.25458069237137e-07 3.25467567370738e-07
100352 98 3.17561653080436e-07 3.17595080056505e-07 3.17561648663509e-07
100864 98.5 3.01485285154568e-07 3.01500378631398e-07 3.01446623438943e-07
101376 99 3.10424343828808e-07 3.10421252633955e-07 3.10416715103133e-07
101888 99.5 3.12997801812495e-07 3.13012605444578e-07 3.13013851503595e-07
102400 100 3.02816113743081e-07 3.02826284348367e-07 3.02844541675321e-07
102912 100.5 3.0009997809687e-07 3.00068537271892e-07 3.00119327494986e-07
103424 101 3.03539901859371e-07 3.03497596997926e-07 3.03516499321009e-07
103936 101.5 3.04554888011766e-07 3.04495677686783e-07 3.04541031704381e-07
104448 102 2.96656741129058e-07 2.96562777180781e-07 2.96689796479659e-07
104960 102.5 2.93503206857418e-07 2.93381006990439e-07 2.93507169333553e-07
105472 103 2.89326914428428e-07 2.89209568480108e-07 2.89295901838099e-07
105984 103.5 2.82023000744779e-07 2.81909579176987e-07 2.81950484360678e-07
106496 104 2.82412948636143e-07 2.82270436344765e-07 2.8235174536977e-07
107008 104.5 2.89252065118999e-07 2.8912629095922e-07 2.89184242248582e-07
107520 105 2.76520140571229e-07 2.76398162031775e-07 2.76486254677811e-07
108032 105.5 2.74527323849152e-07 2.74386872935829e-07 2.74452742494496e-07
108544 106 2.80318758357873e-07 2.80168931885838e-07 2.8023499205833e-07
109056 106.5 2.78489901517729e-07 2.78344848100148e-07 2.78400899871237e-07
109568 107 2.72798530184514e-07 2.72612602867199e-07 2.72735098956242e-07
110080 107.5 2.64364987843983e-07 2.64195910335245e-07 2.64334912711562e-07
110592 108 2.69354428556602e-07 2.69196629837446e-07 2.69267375501717e-07
111104 108.5 2.68536205673407e-07 2.68379299818609e-07 2.68419303583391e-07
111616 109 2.64307740828364e-07 2.64156740412878e-07 2.64192491542944e-07
112128 109.5 2.62227042157927e-07 2.62032035082159e-07 2.62112622783325e-07
112640 110 2.61989514198386e-07 2.61849384196959e-07 2.61908667559744e-07
113152 110.5 2.59473661738569e-07 2.59382466590285e-07 2.59377218700052e-07
113664 111 2.55573526998504e-07 2.55485949429982e-07 2.55460862915004e-07
