# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
76288 74.5 -9.37167900100874e-06 -9.355421603721e-06 -9.3571932088998e-06
76800 75 -8.71916452880473e-06 -8.70646042363086e-06 -8.71056726113727e-06
77312 75.5 -7.81674619837472e-06 -7.80447828296738e-06 -7.80907412113637e-06
77824 76 -7.07998871126758e-06 -7.06778962644173e-06 -7.07262664799818e-06
78336 76.5 -6.42208599791093e-06 -6.41047706648139e-06 -6.41590393242312e-06
78848 77 -5.77890578842948e-06 -5.76732736703677e-06 -5.77298280714855e-06
79360 77.5 -5.10929855122538e-06 -5.09768009579965e-06 -5.10455915213466e-06
79872 78 -4.35835113874394e-06 -4.34705742928805e-06 -4.35413303226044e-06
80384 78.5 -3.61118374493484e-06 -3.59971847171728e-06 -3.60722586231612e-06
80896 79 -3.15711085369339e-06 -3.15491138952303e-06 -3.15450923016716e-06
81408 79.5 -2.86669712476952e-06 -2.86547330165702e-06 -2.86447400708055e-06
81920 80 -2.63710665126072e-06 -2.63576503380657e-06 -2.63526014898189e-06
82432 80.5 -2.34084306120815e-06 -2.3396505931629e-06 -2.33905981761111e-06
82944 81 -2.17266986395314e-06 -2.17161147047976e-06 -2.17069603398569e-06
83456 81.5 -1.95469445633359e-06 -1.95381304946323e-06 -1.9531876878753e-06
83968 82 -1.80991559376378e-06 -1.80937013183047e-06 -1.80874681515042e-06
84480 82.5 -1.67573133483247e-06 -1.67519207948687e-06 -1.67451774048323e-06
84992 83 -1.55139335368567e-06 -1.55073405152404e-06 -1.55006137892073e-06
85504 83.5 -1.47930931551789e-06 -1.47890645014942e-06 -1.47832809817617e-06
86016 84 -1.39217648396297e-06 -1.39167784518968e-06 -1.39116705565919e-06
86528 84.5 -1.30617251820496e-06 -1.30591913703061e-06 -1.30557214546957e-06
87040 85 -1.24606527561666e-06 -1.24571050655022e-06 -1.2452607964039e-06
87552 85.5 -1.29536235615953e-06 -1.29413053887278e-06 -1.29515447112657e-06
88064 86 -1.14079806616621e-06 -1.14043477948544e-06 -1.1405541280894e-06
88576 86.5 -1.1786385721022e-06 -1.17760869778941e-06 -1.17855853296897e-06
89088 87 -1.18997515349348e-06 -1.18900119273331e-06 -1.18986156860661e-06
89600 87.5 -1.110978698294e-06 -1.11011247585016e-06 -1.11082165878129e-06
90112 88 -1.14102307567526e-06 -1.14107742687719e-06 -1.14119812778581e-06
90624 88.5 -1.14016110978163e-06 -1.13944810954807e-06 -1.14006714176422e-06
91136 89 -1.14980734145336e-06 -1.14913029882558e-06 -1.14970351768204e-06
91648 89.5 -1.04480543130066e-06 -1.04452851709644e-06 -1.04466890980075e-06
92160 90 -1.04565151292455e-06 -1.04530115736034e-06 -1.04550769616971e-06
92672 90.5 -1.04172656474443e-06 -1.04150923024559e-06 -1.04177037237e-06
93184 91 -1.0426018929064e-06 -1.04224667228048e-06 -1.04246770089394e-06
93696 91.5 -1.03284359010244e-06 -1.03274496755759e-06 -1.03284661833309e-06
94208 92 -1.01665648422164e-06 -1.01623441660005e-06 -1.01657356405844e-06
94720 92.5 -1.02764379125055e-06 -1.02715430865229e-06 -1.02740398584566e-06
95232 93 -1.03983227065232e-06 -1.03963400676636e-06 -1.03964120910503e-06
95744 93.5 -1.03352195530978e-06 -1.03337626759317e-06 -1.0334733508999e-06
96256 94 -1.01242501251417e-06 -1.01208028455219e-06 -1.01236751003364e-06
96768 94.5 -1.02101303520796e-06 -1.02058072238273e-06 -1.02099292368093e-06
97280 95 -1.02298936478347e-06 -1.02260020066726e-06 -1.02290108102247e-06
97792 95.5 -1.01193917885697e-06 -1.0117328863439e-06 -1.01203196290009e-06
98304 96 -1.02180080206197e-06 -1.02116795243071e-06 -1.02182783866226e-06
98816 96.5 -1.00940555796585e-06 -1.00918485611021e-06 -1.00952828131714e-06
99328 97 -1.00872812494233e-06 -1.00845283396324e-06 -1.00873987332923e-06
99840 97.5 -1.03281992507252e-06 -1.03225718720659e-06 -1.03271570286443e-06
100352 98 -9.97224020381948e-07 -9.9708383879852e-07 -9.97249914604913e-07
100864 98.5 -1.00513601199819e-06 -1.00504588741175e-06 -1.00519061440291e-06
101376 99 -1.00446340461596e-06 -1.00441546685925e-06 -1.0044446100805e-06
101888 99.5 -9.99652739201053e-07 -9.99467145432595e-07 -9.9967051640593e-07
102400 100 -1.00435739873505e-06 -1.00425817620902e-06 -1.00439855547412e-06
102912 100.5 -1.00746704498237e-06 -1.00743109049966e-06 -1.00748915443534e-06
103424 101 -9.95740975113725e-07 -9.95712416834532e-07 -9.95713106915042e-07
103936 101.5 -9.96464574608156e-07 -9.96414067441791e-07 -9.96353880108628e-07
104448 102 -9.99844482084159e-07 -9.99816157711023e-07 -9.99711041085732e-07
104960 102.5 -9.98618235759694e-07 -9.98479272218552e-07 -9.98635782727558e-07
105472 103 -1.00623559922438e-06 -1.00623068250119e-06 -1.00620115177163e-06
105984 103.5 -1.00440826116646e-06 -1.00437810591465e-06 -1.00429273441601e-06
106496 104 -9.94154307085435e-07 -9.94166532945478e-07 -9.94090706014522e-07
107008 104.5 -9.98732573848722e-07 -9.98759602139884e-07 -9.98725369564371e-07
107520 105 -9.87951063820275e-07 -9.87909746087926e-07 -9.87754600510893e-07
