# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
88064 86 0.00127357624970228
88576 86.5 0.0012735245284908
89088 87 0.00127347605392529
89600 87.5 0.00127342994450837
90112 88 0.0012733863548002
90624 88.5 0.00127334570027672
91136 89 0.00127330757475193
91648 89.5 0.00127327316026824
92160 90 0.00127324244912151
92672 90.5 0.00127321609998624
93184 91 0.0012731939612788
93696 91.5 0.00127317647178577
94208 92 0.00127316341713715
94720 92.5 0.00127315429057812
95232 93 0.00127315158206394
95744 93.5 0.00127315449687679
96256 94 0.00127316091677608
96768 94.5 0.00127317274126765
97280 95 0.00127319199697375
97792 95.5 0.00127321667056878
98304 96 0.0012732443170391
98816 96.5 0.00127327839435664
99328 97 0.00127332025574787
99840 97.5 0.00127336662536096
100352 98 0.00127341702413253
100864 98.5 0.00127347369931856
101376 99 0.00127353628221427
101888 99.5 0.00127360358526623
102400 100 0.00127367623434396
102912 100.5 0.00127375389886746
103424 101 0.0012738367167174
103936 101.5 0.00127392443687008
104448 102 0.00127401688166871
104960 102.5 0.00127411516756981
105472 103 0.00127421779431855
105984 103.5 0.0012743237842068
106496 104 0.00127443512659835
107008 104.5 0.00127455123589551
107520 105 0.00127467056470235
108032 105.5 0.00127479389757668
108544 106 0.00127492207526187
109056 106.5 0.00127505380521752
109568 107 0.00127518848394707
110080 107.5 0.00127532707930401
110592 108 0.00127546836798261
111104 108.5 0.00127561187207014
111616 109 0.00127575828773429
112128 109.5 0.00127590644495575
112640 110 0.00127605695540191
113152 110.5 0.00127620946625864
113664 111 0.00127636311564852
114176 111.5 0.00127651784022358
114688 112 0.00127667317568013
115200 112.5 0.00127682940168503
115712 113 0.00127698546941423
116224 113.5 0.00127714191905815
116736 114 0.00127729815783401
117248 114.5 0.00127745377142189
117760 115 0.00127760882479166
118272 115.5 0.00127776225056463
118784 116 0.00127791479280403
119296 116.5 0.00127806560914176
119808 117 0.00127821438292153
120320 117.5 0.0012783611451307
120832 118 0.00127850524514119
121344 118.5 0.0012786471465637
121856 119 0.00127878563857854
122368 119.5 0.00127892034162107
122880 120 0.00127905190030898
123392 120.5 0.00127917981469505
123904 121 0.0012793030906901
124416 121.5 0.00127942096211923
124928 122 0.00127953449219875
125440 122.5 0.00127964314120048
125952 123 0.00127974556378784
126464 123.5 0.0012798415738775
126976 124 0.0012799315565619
127488 124.5 0.0012800159524215
128000 125 0.00128009263062268
128512 125.5 0.00128016131823247
129024 126 0.00128022426257187
129536 126.5 0.00128027953500788
130048 127 0.00128032539453605
130560 127.5 0.00128036446079053
131072 128 0.00128039654095918
131584 128.5 0.00128041932237317
132096 129 0.00128043397492531
132608 129.5 0.00128044152551095
133120 130 0.0012804411089218
133632 130.5 0.00128043228656408
134144 131 0.00128041552772386
134656 131.5 0.00128039222105141
135168 132 0.00128036125264304
135680 132.5 0.00128032223880262
136192 133 0.00128027757538155
136704 133.5 0.00128022666912534
137216 134 0.00128016825236954
137728 134.5 0.00128010423383626
138240 135 0.00128003562411592
138752 135.5 0.00127996139946178
139264 136 0.00127988170398012
139776 136.5 0.00127979827667814
140288 137 0.00127971126624265
140800 137.5 0.00127961953174697
141312 138 0.0012795248648922
141824 138.5 0.00127942802023691
142336 139 0.00127932802863939
142848 139.5 0.0012792261548783
143360 140 0.00127912286020899
143872 140.5 0.00127901760067584
144384 141 0.00127891157623812
144896 141.5 0.00127880552948392
145408 142 0.00127869847932421
145920 142.5 0.00127859127234231
146432 143 0.00127848531482292
146944 143.5 0.00127837933412692
147456 144 0.00127827370762843
147968 144.5 0.00127816986943459
148480 145 0.00127806746682614
148992 145.5 0.00127796606728492
149504 146 0.00127786629056475
150016 146.5 0.00127776855453748
150528 147 0.00127767267901568
151040 147.5 0.00127757907184538
151552 148 0.00127748720557385
152064 148.5 0.00127739733208724
152576 149 0.00127731030241623
153088 149.5 0.00127722534366441
153600 150 0.00127714237431691
154112 150.5 0.00127706178980844
154624 151 0.00127698379484071
