# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
153088 149.5 -0.251124525254751 -0.28866213682692 -0.248985808543719
153600 150 -0.251976280631446 -0.290564588420169 -0.24673980244985
154112 150.5 -0.253345804076084 -0.283090519728239 -0.248720855856264
154624 151 -0.248488028597242 -0.270709616336473 -0.251450630827939
155136 151.5 -0.249173321338974 -0.25863171425413 -0.250912984611502
155648 152 -0.250189099044538 -0.26083321724068 -0.252283362117032
156160 152.5 -0.250861273919189 -0.262806289036859 -0.2549732276353
156672 153 -0.250785718741806 -0.262278183105846 -0.257672928857163
157184 153.5 -0.250367577844286 -0.25944840770063 -0.261343361804019
157696 154 -0.251868491492954 -0.254184881239993 -0.264649170336187
158208 154.5 -0.249941564673873 -0.253120682032988 -0.266651043105959
158720 155 -0.251176691899042 -0.252820657710162 -0.267122966757864
159232 155.5 -0.252106612072194 -0.252228973365032 -0.268988550961096
159744 156 -0.255035825147217 -0.251487482766927 -0.271701655933135
160256 156.5 -0.258790054984061 -0.253530167582341 -0.275164347879492
160768 157 -0.262407133578422 -0.254971379920711 -0.278186030687756
161280 157.5 -0.265857446848599 -0.255759199480925 -0.280071228519259
161792 158 -0.269107917422421 -0.2540149392255 -0.280627978538473
162304 158.5 -0.272126658201381 -0.25146495975166 -0.283212029330206
162816 159 -0.274876687651833 -0.253654089372486 -0.28440112881878
163328 159.5 -0.277303145794252 -0.255719688871857 -0.283200032867051
163840 160 -0.279342969449633 -0.257784974968025 -0.285456991218342
164352 160.5 -0.280931970658204 -0.256771857739914 -0.278587527280592
164864 161 -0.282023499591149 -0.254941448779282 -0.27868054687212
165376 161.5 -0.282343029503195 -0.255610407118181 -0.281452078258181
165888 162 -0.282566098405791 -0.257153612606012 -0.283756555841311
166400 162.5 -0.273030777394268 -0.258071128800196 -0.283195666174917
166912 163 -0.262161951209211 -0.258876477150413 -0.280457352041748
167424 163.5 -0.263391027609268 -0.258134404354208 -0.283407978927884
167936 164 -0.263895667926076 -0.258982710732191 -0.285760523932082
168448 164.5 -0.263088588008711 -0.260085195178147 -0.283683367146739
168960 165 -0.262149565415757 -0.261721436331887 -0.270507642310772
169472 165.5 -0.256568329869498 -0.26223489911755 -0.256411129702783
169984 166 -0.258936204929669 -0.264381069997452 -0.25268985611104
170496 166.5 -0.2600559450117 -0.26386096493165 -0.254659720013929
171008 167 -0.259037652738142 -0.260696680781389 -0.254733269805113
171520 167.5 -0.257056676184288 -0.26306327995784 -0.254219460525636
172032 168 -0.254690802942705 -0.263184137966546 -0.253764264454435
172544 168.5 -0.253734603232007 -0.261940205787779 -0.255689909693208
173056 169 -0.25275539140095 -0.259657727417236 -0.257397822197432
173568 169.5 -0.25523911058665 -0.257563796069526 -0.259246494113832
174080 170 -0.25815299242296 -0.260430899255551 -0.261182883505232
174592 170.5 -0.259602566345694 -0.263335323187029 -0.26195781285304
175104 171 -0.260704721542764 -0.265723978175351 -0.260053522641247
175616 171.5 -0.261392796213846 -0.266808871920131 -0.257228047826036
176128 172 -0.262015740294148 -0.267574105246227 -0.253256772726495
176640 172.5 -0.263060756594842 -0.267980280391707 -0.245738053889874
177152 173 -0.262072298817227 -0.268024677015001 -0.247762260537744
177664 173.5 -0.263292470263071 -0.267758238900418 -0.248426169356914
178176 174 -0.264486625370416 -0.268222381777473 -0.249949310561115
178688 174.5 -0.25808371095729 -0.270733929262383 -0.250280839974128
179200 175 -0.252418817398402 -0.272854184665173 -0.251482011991308
179712 175.5 -0.252989804480813 -0.274283703900392 -0.253685600128231
180224 176 -0.253000110516122 -0.27521032144871 -0.253370961265146
180736 176.5 -0.251970136217525 -0.275207076836553 -0.25437629283635
181248 177 -0.250138613580726 -0.277373867480117 -0.255247576397977
181760 177.5 -0.24825840038031 -0.280784171092318 -0.255902701971247
182272 178 -0.249998585985832 -0.283555242244084 -0.256225130669401
182784 178.5 -0.247250289796062 -0.283015852697139 -0.257474408083808
183296 179 -0.243760933234951 -0.270633668473138 -0.259637375334697
183808 179.5 -0.24302770677105 -0.265427646305833 -0.261134578494798
184320 180 -0.242843541166248 -0.266439353780353 -0.259250220133917
184832 180.5 -0.244360329026409 -0.266763264069574 -0.260115873467822
185344 181 -0.248102401242171 -0.265438800501441 -0.260460087980882
185856 181.5 -0.251865677115224 -0.26523073114332 -0.260238714274098
186368 182 -0.255728244522798 -0.265735693395151 -0.258916232278503
186880 182.5 -0.259527984646209 -0.262993317359347 -0.262060246572545
187392 183 -0.263213437719984 -0.258972515532498 -0.264928119681763
187904 183.5 -0.266756898442781 -0.259690525579429 -0.266102702371897
188416 184 -0.270124290744099 -0.260278379968367 -0.265155134861249
188928 184.5 -0.273274225790756 -0.259217445087429 -0.264834940953001
189440 185 -0.276160646981967 -0.259441471131255 -0.26712506582276
189952 185.5 -0.278729284532956 -0.25581703337886 -0.267522064146601
190464 186 -0.280911792426332 -0.256712083137197 -0.269851147182741
190976 186.5 -0.283127647563413 -0.257852666310849 -0.272709871399873
191488 187 -0.28209382295599 -0.257237874895101 -0.275045110320143
192000 187.5 -0.268886253154855 -0.254364607839181 -0.275088575781837
192512 188 -0.258891448372858 -0.253063775223379 -0.276785496112434
193024 188.5 -0.260297037495152 -0.253052480630231 -0.27963182627495
193536 189 -0.259465457622309 -0.255364925269533 -0.28197737915083
194048 189.5 -0.257411307073382 -0.257293705729578 -0.282435608912574
194560 190 -0.258396392082788 -0.258893925065147 -0.283412998840597
195072 190.5 -0.260516889587798 -0.25935081678902 -0.285874766279854
195584 191 -0.263192261501121 -0.256116176952891 -0.287702502226024
