# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
158208 154.5 0.127650069646117
158720 155 0.127644093691718
159232 155.5 0.127638367181316
159744 156 0.127632843723844
160256 156.5 0.127627517564366
160768 157 0.127622492851674
161280 157.5 0.127617686995146
161792 158 0.127613062786173
162304 158.5 0.127608725163298
162816 159 0.127604626479432
163328 159.5 0.127600700635024
163840 160 0.127596997333982
164352 160.5 0.127593602204281
164864 161 0.127590397800682
165376 161.5 0.127587299235829
165888 162 0.127584481555842
166400 162.5 0.127581915135851
166912 163 0.127579423110633
167424 163.5 0.127577086664659
167936 164 0.127574981662558
168448 164.5 0.12757299736918
168960 165 0.12757105638763
169472 165.5 0.127569231973294
169984 166 0.127567548026556
170496 166.5 0.127565869471908
171008 167 0.12756419050507
171520 167.5 0.127562553161842
172032 168 0.127560903327641
172544 168.5 0.127559211634074
173056 169 0.127557448133952
173568 169.5 0.127555575451472
174080 170 0.127553611631709
174592 170.5 0.127551562667242
175104 171 0.127549302107489
175616 171.5 0.127546840864726
176128 172 0.127544264356818
176640 172.5 0.127541486357922
177152 173 0.127538443170938
177664 173.5 0.12753514391834
178176 174 0.127531667306143
178688 174.5 0.127527974068597
179200 175 0.127523942620516
179712 175.5 0.127519673947119
180224 176 0.127515220024681
180736 176.5 0.127510501402023
181248 177 0.127505475685867
181760 177.5 0.127500256418749
182272 178 0.127494873972568
182784 178.5 0.127489215301182
183296 179 0.12748334191623
183808 179.5 0.12747732906887
184320 180 0.127471163059364
184832 180.5 0.12746482606464
185344 181 0.127458353605247
185856 181.5 0.127451792041551
186368 182 0.1274451424468
186880 182.5 0.127438432749731
187392 183 0.127431687137504
187904 183.5 0.127424892288856
188416 184 0.127418121497893
188928 184.5 0.127411397386384
189440 185 0.127404679338807
189952 185.5 0.12739802579752
190464 186 0.127391491021064
190976 186.5 0.127385036743915
191488 187 0.127378670363197
192000 187.5 0.127372501070493
192512 188 0.127366448900026
193024 188.5 0.127360509545095
193536 189 0.127354810590754
194048 189.5 0.127349274415651
194560 190 0.127343892683122
195072 190.5 0.127338714910656
195584 191 0.127333736839046
196096 191.5 0.127328971347496
196608 192 0.127324386684396
197120 192.5 0.127319970656306
197632 193 0.127315766165925
198144 193.5 0.127311782249979
198656 194 0.127307951844244
199168 194.5 0.127304271659204
199680 195 0.127300795511269
200192 195.5 0.12729750722788
200704 196 0.12729435380591
201216 196.5 0.127291333627865
201728 197 0.12728849722817
202240 197.5 0.127285817267833
202752 198 0.127283251992274
203264 198.5 0.127280821466503
203776 199 0.127278544843374
204288 199.5 0.127276423006711
204800 200 0.127274425440045
205312 200.5 0.127272550843851
205824 201 0.127270836213581
206336 201.5 0.127269290337473
206848 202 0.127267900750532
207360 202.5 0.127266625708462
207872 203 0.127265552892837
208384 203.5 0.127264727473238
208896 204 0.127264014684857
209408 204.5 0.127263485400877
209920 205 0.127263241401451
210432 205.5 0.127263223200562
210944 206 0.127263390510565
211456 206.5 0.127263801872021
211968 207 0.127264535524842
212480 207.5 0.127265520406031
212992 208 0.127266729969505
213504 208.5 0.12726826586028
214016 209 0.127270136205097
214528 209.5 0.127272265683809
215040 210 0.127274687777243
215552 210.5 0.127277478004972
216064 211 0.127280575352012
216576 211.5 0.127283951095407
217088 212 0.127287677960655
217600 212.5 0.127291748950386
218112 213 0.127296097576704
218624 213.5 0.127300750019804
219136 214 0.127305746656037
219648 214.5 0.12731102488362
220160 215 0.127316564164234
220672 215.5 0.127322404582845
221184 216 0.127328513028406
221696 216.5 0.127334858295298
222208 217 0.12734143815093
222720 217.5 0.127348223337534
223232 218 0.127355230715383
223744 218.5 0.127362434330497
224256 219 0.127369760484004
224768 219.5 0.127377226479132
225280 220 0.127384852080848
225792 220.5 0.127392570191666
226304 221 0.12740033246601
226816 221.5 0.127408163721855
227328 222 0.127416053590013
227840 222.5 0.127423937543792
228352 223 0.127431800296475
228864 223.5 0.127439653905588
229376 224 0.127447456096865
229888 224.5 0.127455185921853
230400 225 0.127462840291916
230912 225.5 0.127470378009078
231424 226 0.127477808974312
231936 226.5 0.127485128916375
232448 227 0.127492281689657
232960 227.5 0.127499275090311
233472 228 0.127506119482649
233984 228.5 0.127512802104151
234496 229 0.127519297872874
235008 229.5 0.127525585156703
235520 230 0.127531707698849
236032 230.5 0.127537664268736
236544 231 0.127543402301636
237056 231.5 0.127548938382724
237568 232 0.127554324987663
238080 232.5 0.127559541332109
238592 233 0.127564550430166
239104 233.5 0.12756939691357
239616 234 0.127574107415521
240128 234.5 0.127578676416282
240640 235 0.127583088622982
241152 235.5 0.1275873691028
241664 236 0.127591565548035
242176 236.5 0.127595651126831
242688 237 0.127599633873511
243200 237.5 0.127603546328305
243712 238 0.127607402852773
244224 238.5 0.127611202853802
244736 239 0.127614933610629
245248 239.5 0.127618653724528
245760 240 0.127622363053768
246272 240.5 0.12762601917351
246784 241 0.127629668117449
247296 241.5 0.127633354628777
247808 242 0.127637044622045
248320 242.5 0.127640689768236
248832 243 0.127644379084158
249344 243.5 0.127648153089113
249856 244 0.127651884363842
250368 244.5 0.127655608778715
250880 245 0.127659437260829
251392 245.5 0.127663290997353
251904 246 0.127667114760638
252416 246.5 0.127670972758738
252928 247 0.127674892575076
253440 247.5 0.12767882299161
253952 248 0.127682730088947
254464 248.5 0.127686655344657
254976 249 0.127690615063439
255488 249.5 0.127694556571227
256000 250 0.127698464257418
256512 250.5 0.127702371844282
257024 251 0.127706267015626
257536 251.5 0.127710128984102
258048 252 0.127713945425036
258560 252.5 0.127717708423289
259072 253 0.127721442234994
259584 253.5 0.127725132669553
260096 254 0.127728738523788
260608 254.5 0.127732265585205
261120 255 0.127735757081469
261632 255.5 0.127739184767171
262144 256 0.12774249560044
262656 256.5 0.127745736857865
263168 257 0.1277489258514
263680 257.5 0.127752023382196
264192 258 0.12775503132652
264704 258.5 0.12775795490408
265216 259 0.127760811155103
265728 259.5 0.127763604230989
266240 260 0.127766301440614
266752 260.5 0.127768921170177
267264 261 0.127771494373508
267776 261.5 0.127774001345031
268288 262 0.127776430568649
268800 262.5 0.127778802328874
269312 263 0.127781133013812
269824 263.5 0.127783408757216
270336 264 0.127785623999322
270848 264.5 0.127787803864203
271360 265 0.127789943699344
271872 265.5 0.127792036753387
272384 266 0.12779410007348
272896 266.5 0.127796124112432
273408 267 0.1277981170001
273920 267.5 0.127800089424234
274432 268 0.127802016214319
274944 268.5 0.1278039195691
275456 269 0.127805819824868
275968 269.5 0.127807667571058
276480 270 0.127809472194195
276992 270.5 0.127811292816731
277504 271 0.127813081092428
278016 271.5 0.127814791489635
278528 272 0.127816489029642
279040 272.5 0.127818189474429
279552 273 0.127819819627913
280064 273.5 0.127821375185127
280576 274 0.127822909796092
281088 274.5 0.127824412152296
281600 275 0.127825824481534
282112 275.5 0.127827140924713
282624 276 0.127828410990798
283136 276.5 0.127829615012735
283648 277 0.127830686902879
284160 277.5 0.127831638208713
284672 278 0.127832513074259
285184 278.5 0.127833265121134
285696 279 0.127833841047321
286208 279.5 0.127834283392164
286720 280 0.127834589360163
287232 280.5 0.127834713276249
287744 281 0.127834655726889
288256 281.5 0.127834406399047
288768 282 0.127833965155255
289280 282.5 0.127833330903995
289792 283 0.127832474437351
290304 283.5 0.127831385888014
290816 284 0.127830076539277
291328 284.5 0.127828564588263
291840 285 0.127826807519127
292352 285.5 0.127824781961334
292864 286 0.127822560082483
293376 286.5 0.127820126590777
293888 287 0.127817419039814
294400 287.5 0.127814487520465
294912 288 0.127811375036329
295424 288.5 0.127808034720655
295936 289 0.127804467496818
296448 289.5 0.127800728516757
296960 290 0.127796812042213
297472 290.5 0.127792704820121
297984 291 0.127788442882699
298496 291.5 0.127784049318812
299008 292 0.127779508255466
299520 292.5 0.127774842913185
300032 293 0.127770090090133
300544 293.5 0.127765243833598
301056 294 0.127760312931103
301568 294.5 0.127755320258022
302080 295 0.127750292348746
302592 295.5 0.127745233585805
303104 296 0.127740139379401
303616 296.5 0.12773504655693
304128 297 0.127729966689802
304640 297.5 0.127724897849804
305152 298 0.127719861707766
305664 298.5 0.127714858004144
306176 299 0.127709899629695
306688 299.5 0.12770501029455
307200 300 0.127700177544411
307712 300.5 0.127695398434644
308224 301 0.127690698957168
308736 301.5 0.127686089254271
309248 302 0.12768154926561
309760 302.5 0.127677069906571
310272 303 0.127672682876986
310784 303.5 0.127668392145563
311296 304 0.127664157346023
311808 304.5 0.127659984293282
