# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
213504 208.5 1.06784460611241
214016 209 1.07021591967512
214528 209.5 1.07179758609826
215040 210 1.07349649718773
215552 210.5 1.07660216116564
216064 211 1.07934142385278
216576 211.5 1.08149640281551
217088 212 1.08272988168102
217600 212.5 1.08224896420331
218112 213 1.08000545919847
218624 213.5 1.07427677132415
219136 214 1.07037992985116
219648 214.5 1.06889992545999
220160 215 1.06783189546285
220672 215.5 1.06597528167377
221184 216 1.06597994971989
221696 216.5 1.06581027714396
222208 217 1.06587677669849
222720 217.5 1.06536121374325
223232 218 1.06493601576386
223744 218.5 1.06510312009331
224256 219 1.06386653013108
224768 219.5 1.06412796364689
225280 220 1.06464349867566
225792 220.5 1.06435451722257
226304 221 1.06420252029573
226816 221.5 1.06481507105894
227328 222 1.06502711410935
227840 222.5 1.06553847670987
228352 223 1.06554457532397
228864 223.5 1.0662508350586
229376 224 1.06786010154402
229888 224.5 1.06931523378559
230400 225 1.07045069253947
230912 225.5 1.07128515133789
231424 226 1.07275559244578
231936 226.5 1.07370161966407
232448 227 1.07418701661864
232960 227.5 1.07400346264242
233472 228 1.07325583230509
233984 228.5 1.07416364113409
234496 229 1.07421887797809
235008 229.5 1.07369347693394
235520 230 1.06788263434278
236032 230.5 1.06592517784481
236544 231 1.06724217342201
237056 231.5 1.06922286401831
237568 232 1.07068978809053
238080 232.5 1.07155716860923
238592 233 1.07151134196956
239104 233.5 1.07112063493442
239616 234 1.0716134602676
240128 234.5 1.06991548015306
240640 235 1.07063783217066
241152 235.5 1.07207089996767
241664 236 1.07423621758225
242176 236.5 1.07543839354609
242688 237 1.07878429722161
243200 237.5 1.08175816763778
243712 238 1.0842178153923
244224 238.5 1.0859585972542
244736 239 1.08681324185484
245248 239.5 1.08496860759797
245760 240 1.0800310725303
246272 240.5 1.0760191961839
246784 241 1.07322805164995
247296 241.5 1.07392834622327
247808 242 1.07378691242469
248320 242.5 1.07242001207218
248832 243 1.07124636631707
249344 243.5 1.07079337112938
249856 244 1.07126518551823
250368 244.5 1.07208141504457
250880 245 1.07160970350425
251392 245.5 1.07250115652556
251904 246 1.07332565060836
252416 246.5 1.07358921906943
252928 247 1.07217806179944
253440 247.5 1.07283022637925
253952 248 1.07097584191466
254464 248.5 1.06593349514916
254976 249 1.06630566961096
255488 249.5 1.06608675745537
256000 250 1.06510530927513
256512 250.5 1.06570587255887
257024 251 1.06640106232219
257536 251.5 1.06529176436121
258048 252 1.0668157512364
258560 252.5 1.06796633021331
259072 253 1.06952201989711
259584 253.5 1.07256123640065
260096 254 1.07517139064748
260608 254.5 1.07706384366299
261120 255 1.07825556425532
261632 255.5 1.07905623618283
262144 256 1.07865028186115
262656 256.5 1.07786132417023
263168 257 1.07913956273374
263680 257.5 1.07946623853352
264192 258 1.07670584541232
264704 258.5 1.0764000795671
265216 259 1.0761739175311
265728 259.5 1.07418227743453
266240 260 1.06947619677313
266752 260.5 1.06832108406645
267264 261 1.07119423279126
267776 261.5 1.0736991347019
268288 262 1.07532610955615
268800 262.5 1.0767663042037
269312 263 1.0790191122075
269824 263.5 1.08082377303647
270336 264 1.08448842979091
270848 264.5 1.08773644320633
271360 265 1.0903240895571
271872 265.5 1.09205531799029
272384 266 1.0921553782043
272896 266.5 1.0887526633242
273408 267 1.08265084552258
273920 267.5 1.07943285438926
274432 268 1.07749627760343
274944 268.5 1.07749719979888
275456 269 1.07780358434892
275968 269.5 1.07618580745841
276480 270 1.0765718617221
276992 270.5 1.07755847806383
277504 271 1.07807658917895
278016 271.5 1.07664919961924
278528 272 1.07492054572391
279040 272.5 1.074990234217
279552 273 1.07413104904963
280064 273.5 1.07298367008001
280576 274 1.06963663918251
281088 274.5 1.06896611461597
281600 275 1.06907174168314
282112 275.5 1.06833598119423
282624 276 1.06970743866059
283136 276.5 1.07146919697498
283648 277 1.07307364102836
284160 277.5 1.07451104202213
284672 278 1.07497522482762
285184 278.5 1.07481385119821
285696 279 1.07510163831262
286208 279.5 1.07345903657457
286720 280 1.07425174285866
287232 280.5 1.07430218685163
287744 281 1.07489736618251
288256 281.5 1.07731346540726
288768 282 1.07937834415783
289280 282.5 1.08067055397962
289792 283 1.08142737040525
290304 283.5 1.08110632259906
290816 284 1.07895512203883
291328 284.5 1.07970948031067
291840 285 1.079545516721
292352 285.5 1.07820905659378
292864 286 1.07786799310106
293376 286.5 1.07724259590473
293888 287 1.07402741508086
294400 287.5 1.07061612123282
294912 288 1.07130686873836
295424 288.5 1.07007036483066
295936 289 1.07325594208391
296448 289.5 1.07593352533177
296960 290 1.07791857779739
297472 290.5 1.07820928427628
297984 291 1.08033802093308
298496 291.5 1.08371949601483
299008 292 1.08744783657687
299520 292.5 1.09079501175387
300032 293 1.0934239268746
300544 293.5 1.09502066431024
301056 294 1.09471925101004
301568 294.5 1.09084331492143
302080 295 1.08490089946207
302592 295.5 1.08372312535128
303104 296 1.08054880165074
303616 296.5 1.0794089860659
304128 297 1.07938061792078
304640 297.5 1.07979951331475
305152 298 1.07987353787326
305664 298.5 1.07951551554364
306176 299 1.07915282237269
306688 299.5 1.08095265431133
307200 300 1.08202541375475
307712 300.5 1.07983666813175
308224 301 1.07940151771768
308736 301.5 1.07984028666768
309248 302 1.07926921313026
309760 302.5 1.07916929627996
310272 303 1.07788946558135
