# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
244736 239 5.17735917302529e-05 5.13665048059595e-05 5.2809624410578e-05
245248 239.5 5.2147027591683e-05 5.17316076605325e-05 5.31786851541843e-05
245760 240 5.24448582920783e-05 5.20214676482303e-05 5.34620617599858e-05
246272 240.5 5.27115590486774e-05 5.2281541217386e-05 5.37052253109139e-05
246784 241 5.30349306792819e-05 5.2599136568259e-05 5.39938240353476e-05
247296 241.5 5.3358175312715e-05 5.29176100468587e-05 5.42759039114313e-05
247808 242 5.35682403490049e-05 5.31216277876806e-05 5.44341806405469e-05
248320 242.5 5.3740793260159e-05 5.32919717963118e-05 5.45469281977896e-05
248832 243 5.40065968445685e-05 5.35594339014092e-05 5.47496462763542e-05
249344 243.5 5.42361968716106e-05 5.37908158664992e-05 5.49082629565449e-05
249856 244 5.43442127229066e-05 5.3902391849172e-05 5.49373695798369e-05
250368 244.5 5.44789166846748e-05 5.40443256883164e-05 5.49944659725318e-05
250880 245 5.46746728154163e-05 5.42498083896157e-05 5.51086322138692e-05
251392 245.5 5.47521327931711e-05 5.43375375264747e-05 5.5100676859791e-05
251904 246 5.47381185040907e-05 5.43333140028477e-05 5.5000015763559e-05
252416 246.5 5.48481413766346e-05 5.44564371566062e-05 5.50236900781272e-05
252928 247 5.4946970563073e-05 5.45706260498915e-05 5.503621649334e-05
253440 247.5 5.4853971302068e-05 5.44977143828187e-05 5.48635612873008e-05
253952 248 5.47894350269259e-05 5.44513153026738e-05 5.47169917774603e-05
254464 248.5 5.48297927320227e-05 5.45123527167681e-05 5.4679172357928e-05
254976 249 5.48028097039168e-05 5.4507978383457e-05 5.45810870994248e-05
255488 249.5 5.45920195551028e-05 5.43210582312862e-05 5.43028241239359e-05
256000 250 5.44187865475933e-05 5.41699478694857e-05 5.4064302721248e-05
256512 250.5 5.44103200551965e-05 5.41846854566864e-05 5.39973862109405e-05
257024 251 5.42588329161206e-05 5.40572134644695e-05 5.37921219396366e-05
257536 251.5 5.39527131543554e-05 5.37737505879772e-05 5.34364431488706e-05
258048 252 5.37438868085385e-05 5.35877001565292e-05 5.31833349899532e-05
